1913-12-01	Plaza de Mayo	Plaza Miserere	A
1914-04-01	Plaza Miserere	Río de Janeiro	A
1914-07-01	Río de Janeiro	Primera Junta	A
1930-10-17	Federico Lacroze	Callao	B
1931-07-22	Callao	Carlos Pellegrini	B
1931-12-01	Carlos Pellegrini	Leandro N. Alem	B
1934-11-09	Constitución	Diagonal Norte	C
1936-02-06	Diagonal Norte	Retiro	C
1937-06-03	Catedral	Tribunales	D
1940-02-23	Tribunales	Palermo	D
1944-06-20	San José	General Urquiza	E
1944-12-16	General Urquiza	Boedo	E
1966-04-24	Boedo	Av. La Plata	E
1966-04-24	San José	Bolívar	E
1973-06-23	Av. La Plata	José María Moreno	E
1985-10-07	José María Moreno	Emilio Mitre	E
1985-10-31	Emilio Mitre	Medalla Milagrosa	E
1985-11-27	Medalla Milagrosa	Varela	E
1986-05-08	Varela	Plaza de los Virreyes	E
1987-12-29	Palermo	Ministro Carranza	D
1997-05-31	Ministro Carranza	José Hernández	D
1999-06-21	José Hernández	Juramento	D
2000-04-27	Juramento	Congreso de Tucumán	D
2003-08-09	Federico Lacroze	Los Incas/Parque Chas	B
2007-10-18	Once	Caseros	H
2008-12-23	Primera Junta	Carabobo	A
2010-12-06	Once	Corrientes	H
2011-10-04	Caseros	Parque Patricios	H
2013-05-27	Parque Patricios	Hospitales	H
2013-07-26	Los Incas/Parque Chas	Juan Manuel de Rosas	B
